Assignment_ID;ROI_ring;DB_Status;DB_Status_Date_Active;DB_Status_Date_Inactive
AID_20260105T163634653728Z_TSFERP3HNBAO;0;Active;05-01-2026 16:37;
AID_20260105T163634715195Z_WZHCWTIJGJA7;0;Active;05-01-2026 16:37;
AID_20260105T163634777388Z_UP4JKAH4AFEQ;0;Active;05-01-2026 16:37;
AID_20260105T163634840604Z_75K535ZBZRBR;0;Active;05-01-2026 16:37;
AID_20260105T163634907115Z_GTDVJTCEVRF2;0;Active;05-01-2026 16:37;
AID_20260105T163634969987Z_AHDOZKGNFNAV;1;Active;05-01-2026 16:37;
AID_20260105T163635087021Z_YVB4E7KCBZGN;0;Active;05-01-2026 16:37;
AID_20260105T163635156286Z_MZMCRP75KNBO;0;Active;05-01-2026 16:37;
AID_20260105T163635220367Z_DMHH2SBIG5DO;0;Active;05-01-2026 16:37;
AID_20260105T163635283082Z_EXJJEMNFMZAG;0;Active;05-01-2026 16:37;
AID_20260105T163635345214Z_SQPNBAEEGRFU;0;Active;05-01-2026 16:37;
AID_20260105T163635409167Z_BROHNCUUABCF;0;Active;05-01-2026 16:37;
AID_20260105T163635471782Z_665Z5EE7HZAV;0;Active;05-01-2026 16:37;
AID_20260105T163635536989Z_DXSRPZL6EZFT;0;Active;05-01-2026 16:37;
AID_20260105T163635603199Z_R3UJJLGS4NE5;0;Active;05-01-2026 16:37;
AID_20260105T163635667679Z_UTDZCW7C5VA3;2;Active;05-01-2026 16:37;
AID_20260105T163635734888Z_6ZXKYDTQY5DI;0;Active;05-01-2026 16:37;
AID_20260105T163635801131Z_DLSVQBV5Y5AM;0;Active;05-01-2026 16:37;
AID_20260105T163635866571Z_7TNMIXB3GFB3;0;Active;05-01-2026 16:37;
AID_20260105T163635930783Z_CZEEFHK43ZEG;0;Active;05-01-2026 16:37;
AID_20260105T163635993861Z_XDUJFUJBMFBZ;1;Active;05-01-2026 16:37;
AID_20260105T163636059444Z_IMS6NZBK7BFG;0;Active;05-01-2026 16:37;
AID_20260105T163636125809Z_MHI5AKHZRJAN;0;Active;05-01-2026 16:37;
AID_20260105T163636196608Z_G5KQQCRVCVB2;0;Active;05-01-2026 16:37;
AID_20260105T163636265348Z_NBEZ4EIC2JHD;0;Active;05-01-2026 16:37;
AID_20260105T163636329208Z_2N24DCGKK5FX;0;Active;05-01-2026 16:37;
AID_20260105T163636399539Z_LUCV4ZJYVJDY;0;Active;05-01-2026 16:37;
AID_20260105T163636464218Z_HP5CQPWBLNH6;0;Active;05-01-2026 16:37;
AID_20260105T163636531478Z_RE2ENAQE4NFK;0;Active;05-01-2026 16:37;
AID_20260105T163636598732Z_SPCJICGZ7JBZ;0;Active;05-01-2026 16:37;
AID_20260105T163636706078Z_KPSJQPXVTJHM;2;Active;05-01-2026 16:37;
AID_20260105T163636796161Z_MI2FPG5CHRHR;0;Active;05-01-2026 16:37;
AID_20260105T163636868510Z_EW4ZW5FXMRDC;0;Active;05-01-2026 16:37;
AID_20260105T163636942106Z_7RBIMKRBTRD6;0;Active;05-01-2026 16:37;
AID_20260105T163637019829Z_KS34ANFVEJHE;0;Active;05-01-2026 16:37;
AID_20260105T163637087759Z_BX7I5TKGJBB7;1;Active;05-01-2026 16:37;
AID_20260105T163637159720Z_SWBE3ZLRIJAB;0;Active;05-01-2026 16:37;
AID_20260105T163637228598Z_2YEDPNMRVFBV;0;Active;05-01-2026 16:37;
AID_20260105T163637294528Z_UDDLGUMTLZGM;0;Active;05-01-2026 16:37;
AID_20260105T163637360982Z_XUBAJ4JTV5FT;0;Active;05-01-2026 16:37;
AID_20260105T163637430587Z_IBN75AE5JZBN;0;Active;05-01-2026 16:37;
AID_20260105T163637496914Z_PSYIK45EU5B3;0;Active;05-01-2026 16:37;
AID_20260105T163637562053Z_AR7VVNQOVFGL;0;Active;05-01-2026 16:37;
AID_20260105T163637631839Z_OKPTON7KW5C5;1;Active;05-01-2026 16:37;
AID_20260105T163637705667Z_ECRTBV2F7JHW;1;Active;05-01-2026 16:37;
AID_20260105T163637776429Z_KXDZ2F7NJBAG;2;Active;05-01-2026 16:37;
AID_20260105T163637849454Z_E74JHZWVQ5BK;1;Active;05-01-2026 16:37;
AID_20260105T163637921393Z_V5EHOAY3XVEU;1;Active;05-01-2026 16:37;
AID_20260105T163637988497Z_WBZIQ3XZZ5A7;2;Active;05-01-2026 16:37;
AID_20260105T163638060348Z_6IOM3EPBHZDU;1;Active;05-01-2026 16:37;
AID_20260105T163638169322Z_U5NUHKVH6JHW;0;Active;05-01-2026 16:37;
AID_20260105T163638241629Z_MRBCWF2NY5CM;1;Active;05-01-2026 16:37;
AID_20260105T163638311266Z_U4WTINSQR5CG;1;Active;05-01-2026 16:37;
AID_20260105T163638445035Z_NFFYCHVCUNBJ;1;Active;05-01-2026 16:37;
AID_20260105T163638518748Z_6FZVK3W2QZCT;1;Active;05-01-2026 16:37;
AID_20260105T163638587513Z_CIRK4ACWFFDO;1;Active;05-01-2026 16:37;
AID_20260105T163638660411Z_OC3GQ6TPIFAY;1;Active;05-01-2026 16:37;
AID_20260105T163638728824Z_DHM3V33UHZCR;1;Active;05-01-2026 16:37;
AID_20260105T163638803864Z_7DQD2HM735HS;1;Active;05-01-2026 16:37;
AID_20260105T163638887136Z_ACIIMJI4IJHI;1;Active;05-01-2026 16:37;
AID_20260105T163638964181Z_NSIBD2CBPNCK;1;Active;05-01-2026 16:37;
AID_20260105T163639035025Z_KGKD4GU26ZFF;1;Active;05-01-2026 16:37;
AID_20260105T163639111921Z_4UIAMAUBQBES;1;Active;05-01-2026 16:37;
AID_20260105T163639183091Z_M6TVXJDTWJDS;2;Active;05-01-2026 16:37;
