as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_10kmX4100000000Y2970000000Z0;6.9961842341;49.8477783659;6.9295905885;49.8010038146;6.9238508437;49.8908323723;7.0629055518;49.8945136342;7.0683865589;49.8046771768;TGB101_50kmX4100000000Y2950000000Z0
TGB101_10kmX4240000000Y2970000000Z0;8.9426341738;49.8825890165;8.8741326759;49.8369670228;8.8720252837;49.9268729842;9.0112651009;49.9281691699;9.0131124376;49.8382604222;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4190000000Y2920000000Z0;8.2633852464;49.4245070063;8.1961586509;49.3784734923;8.1928303489;49.4683742266;8.3307377542;49.4704999232;8.3338123013;49.3805946818;TGB101_50kmX4150000000Y2900000000Z0
TGB101_10kmX4150000000Y3010000000Z0;7.6736115;50.223487773;7.6058460771;50.1771134036;7.601316957;50.2669670217;7.7415077202;50.269821694;7.7457725761;50.1799618787;TGB101_50kmX4150000000Y3000000000Z0
TGB101_10kmX4160000000Y2970000000Z0;7.8300536077;49.8667814939;7.7626327155;49.8204961951;7.758447305;49.9103666887;7.8976030009;49.9130264161;7.901528955;49.8231502094;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4240000000Y2890000000Z0;8.9581618702;49.1632418448;8.8906430093;49.1176197648;8.8886125313;49.2075483736;9.025805442;49.2088226391;9.0275853518;49.1188913488;TGB101_50kmX4200000000Y2850000000Z0
TGB101_10kmX4300000000Y3070000000Z0;9.7731197193;50.7863483654;9.7025064178;50.7412398045;9.7019334188;50.8311342663;9.8438693136;50.831413202;9.8441694601;50.741518124;TGB101_50kmX4300000000Y3050000000Z0
TGB101_10kmX4250000000Y3020000000Z0;9.073058965;50.3333174629;9.0037883146;50.2877790603;9.0018969603;50.3776755374;9.1424622293;50.3788134782;9.1440872865;50.2889145215;TGB101_50kmX4250000000Y3000000000Z0
TGB101_10kmX4190000000Y2930000000Z0;8.2601763782;49.5144085624;8.1928303489;49.4683742266;8.1894865648;49.5582720109;8.3276489042;49.5604022362;8.3307377542;49.4704999232;TGB101_50kmX4150000000Y2900000000Z0
TGB101_10kmX4150000000Y3050000000Z0;7.655855972;50.5828947973;7.587600319;50.5365127143;7.5829845215;50.626356406;7.7242449151;50.6292361719;7.7285914018;50.5393861606;TGB101_50kmX4150000000Y3050000000Z0
TGB101_10kmX4240000000Y2980000000Z0;8.9406521631;49.9724951236;8.8720252837;49.9268729842;8.8699079845;50.016776366;9.0094090793;50.0180753517;9.0112651009;49.9281691699;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4280000000Y2920000000Z0;9.5037480388;49.4367941544;9.4353470148;49.3915050892;9.4343046788;49.4814335202;9.5722758894;49.4820410131;9.5730640201;49.3921112933;TGB101_50kmX4250000000Y2900000000Z0
TGB101_10kmX4150000000Y2960000000Z0;7.6953399604;49.7741706427;7.6281749793;49.727804959;7.623750953;49.81767221;7.7626327155;49.8204961951;7.7667985967;49.7306228953;TGB101_50kmX4150000000Y2950000000Z0
TGB101_10kmX4260000000Y2910000000Z0;9.2294877897;49.3453160825;9.1614680644;49.299859881;9.1599245691;49.3897875511;9.2976335747;49.3907305058;9.2989240964;49.3008008407;TGB101_50kmX4250000000Y2900000000Z0
TGB101_10kmX4200000000Y3050000000Z0;8.3616625523;50.5951132672;8.2926995909;50.5491502492;8.2894313951;50.6390217416;8.4307594589;50.6410346266;8.4337578544;50.5511587142;TGB101_50kmX4200000000Y3050000000Z0
TGB101_10kmX4180000000Y2880000000Z0;8.1393040282;49.0626814712;8.0726798705;49.0165697392;8.0691634422;49.106478054;8.2060516856;49.1087530369;8.2093190756;49.01883995;TGB101_50kmX4150000000Y2850000000Z0
TGB101_10kmX4150000000Y2910000000Z0;7.7165667187;49.3247823117;7.6499888654;49.2784242622;7.6456664695;49.3683065089;7.7832694217;49.3711005385;7.7873395907;49.2812123864;TGB101_50kmX4150000000Y2900000000Z0
TGB101_10kmX4220000000Y2990000000Z0;8.6594115196;50.0594557845;8.5909289093;50.0136657784;8.588276787;50.1035598998;8.7280245627;50.1052041777;8.7304142904;50.0153065031;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4250000000Y2950000000Z0;9.0851656899;49.7039733863;9.0167812886;49.6584350048;9.0149511476;49.7483490524;9.1536784175;49.7494698871;9.1552508775;49.6595534427;TGB101_50kmX4250000000Y2950000000Z0
TGB101_10kmX4300000000Y2950000000Z0;9.7782122387;49.7074511648;9.7091745305;49.6623327017;9.7086331189;49.7522551025;9.8473787278;49.7525268393;9.8476623281;49.6626038574;TGB101_50kmX4300000000Y2950000000Z0
TGB101_10kmX4080000000Y2920000000Z0;6.7486575476;49.3909646146;6.6829094721;49.3440420916;6.6767965466;49.4338697343;6.8145300848;49.437848498;6.8203904808;49.3480124335;TGB101_50kmX4050000000Y2900000000Z0
TGB101_10kmX4180000000Y3080000000Z0;8.0682025161;50.8603279171;7.9991413187;50.8141920168;7.9952788366;50.90404692;8.1373993302;50.9064223319;8.140988302;50.8165621712;TGB101_50kmX4150000000Y3050000000Z0
TGB101_10kmX4280000000Y2980000000Z0;9.4981791756;49.9763197339;9.4290195745;49.9310345451;9.4279476375;50.0209469171;9.5674692034;50.0215622747;9.5682797167;49.931648576;TGB101_50kmX4250000000Y2950000000Z0
TGB101_10kmX4140000000Y3000000000Z0;7.5382110767;50.1306987107;7.4707061244;50.0842438187;7.4659353971;50.1740935172;7.6058460771;50.1771134036;7.6103538938;50.0872571678;TGB101_50kmX4100000000Y3000000000Z0
