SOB_ID;DB_Status;SOB_as_code;SOB_ring;DB_Status_Date_Active;DB_Status_Date_Inactive
SOB_20260105T163218734014Z_M4PV7USN2FA2;Active;TGB101_10mX4196440000Y2990290000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218734161Z_J6MIUMXL7ZE5;Active;TGB101_10mX4196910000Y2988790000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218734301Z_WVINEP75UNGF;Active;TGB101_10mX4197310000Y2988460000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218734448Z_3JZIL3AEDFFJ;Active;TGB101_10mX4196180000Y2989230000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218734588Z_XUW5WFSK3VG2;Active;TGB101_10mX4196550000Y2988880000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218734727Z_63VHB2EIMRD2;Active;TGB101_10mX4196480000Y2989330000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218734869Z_IEZ3T76RLVGF;Active;TGB101_10mX4195100000Y2997980000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218735022Z_JATC2KQPOVHI;Active;TGB101_10mX4171270000Y2984260000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218735170Z_WMMXWGJ3KVGK;Active;TGB101_10mX4195270000Y2986820000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218735313Z_OC7QFG562FGD;Active;TGB101_10mX4192470000Y2989030000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218735455Z_RWWHB4I7RJGK;Active;TGB101_10mX4190250000Y2987970000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218735596Z_QXHQO55NURCY;Active;TGB101_10mX4190430000Y2987350000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218735737Z_XTYZ3N36YJFL;Active;TGB101_10mX4190740000Y2988460000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218735887Z_NKKR2HUG4JDZ;Active;TGB101_10mX4189530000Y2987260000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218736031Z_OYLZBSY7DFGT;Active;TGB101_10mX4192430000Y2989050000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218736172Z_GX3FCUBIMJGN;Active;TGB101_10mX4197340000Y2979400000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218736314Z_XH5HYEFR3BES;Active;TGB101_10mX4199710000Y2989030000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218736459Z_WXIMS7PTOFDQ;Active;TGB101_10mX4197460000Y2984900000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218736607Z_RJLBFXZUR5GL;Active;TGB101_10mX4196720000Y2989440000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218736751Z_MW7OPTD2BNCA;Active;TGB101_10mX4196890000Y2988690000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218736897Z_SB5U4KPRCFDP;Active;TGB101_10mX4197250000Y2989020000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218737037Z_UKYRKP3BVFFN;Active;TGB101_10mX4197720000Y2988430000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218737179Z_ZOWYZZNFABHX;Active;TGB101_10mX4197420000Y2988480000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218737331Z_NHSQPUNEYZA5;Active;TGB101_10mX4197590000Y2988440000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218737472Z_HNON2UFFQZAP;Active;TGB101_10mX4194010000Y2992030000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218737613Z_OCIJKOP4RNEO;Active;TGB101_10mX4195060000Y2990320000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218737757Z_BRY3U4U4BJDI;Active;TGB101_10mX4190630000Y2988330000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218737916Z_7QYCQDX2ANAW;Active;TGB101_10mX4194490000Y2991390000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218738056Z_SPRZ7FFYS5AL;Active;TGB101_10mX4196190000Y2989670000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218738197Z_GW7E4QRWJVAN;Active;TGB101_10mX4192570000Y2989360000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218738336Z_SBZL5MM2ZRBX;Active;TGB101_10mX4197520000Y3001550000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218738477Z_MGPIDLYZQJGN;Active;TGB101_10mX4196810000Y2989960000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218738627Z_KENKV6KH3JHM;Active;TGB101_10mX4190530000Y2987930000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218738768Z_KYNAFEZQJFGQ;Active;TGB101_10mX4196480000Y2989330000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218738910Z_FOXTXLV3FRH3;Active;TGB101_10mX4196510000Y2989710000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218739047Z_45UBE2ITRBEE;Active;TGB101_10mX4196010000Y2989650000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218739193Z_PUSHJ5DV4ZDL;Active;TGB101_10mX4195310000Y2990520000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218739341Z_6S6OAEWV7RH4;Active;TGB101_10mX4190710000Y2988440000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218739484Z_5R2AWPWORVFX;Active;TGB101_10mX4196380000Y2989120000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218739629Z_CTMAHPK23NG2;Active;TGB101_10mX4193530000Y2991480000Z0;0;2026-01-05 16:32:23;
